,Наименование субъекта,Назначение ОРО,Количество OPO
0,Ярославская область,захоронение,15.0
15,Ярославская область,хранение,7.0
22,Ямало-Ненецкий автономный округ,захоронение,68.0
39,Ямало-Ненецкий автономный округ,хранение,8.0
98,Чукотский АО,захоронение,15.0
99,Чукотский АО,хранение,15.0
128,Чувашская Республика,захоронение,14.0
130,Чувашская Республика,хранение,13.0
155,Чеченская Республика,захоронение,7.0
162,Челябинская область,захоронение,13.0
164,Челябинская область,хранение,110.0
285,Ханты-Мансийский автономный округ - Югра,хранение,95.0
294,Ханты-Мансийский автономный округ - Югра,хранениезахоронение,10.0
298,Ханты-Мансийский автономный округ - Югра,захоронение,60.0
450,Хабаровский край,захоронение,27.0
455,Хабаровский край,хранение,46.0
483,хабаровский край,хранение,1.0
524,Ульяновская область,захоронение,11.0
528,Ульяновская область,хранение,8.0
543,Тюменская область,хранение,19.0
555,Тюменская область,захоронение,28.0
590,Тульская область,хранение,22.0
594,Тульская область,захоронение,20.0
632,Томская область,захоронение,87.0
640,Томская область,хранение,22.0
741,Тверская область,захоранение,9.0
744,Тверская область,хранение,2.0
752,Тверская область,захоронение,1.0
753,Тамбовская область,захоронение,10.0
761,Тамбовская область,хранение,10.0
773,Ставропольский край,хранение,13.0
774,Ставропольский край,захоронение,10.0
796,Смоленская область,захоронение,19.0
812,Смоленская область,хранение,5.0
820,Свердловская область,хранение,145.0
825,Свердловская область,захоронение,51.0
1016,Сахалинская область,хранение,32.0
1031,Сахалинская область,захоронение,16.0
1065,Саратовская область,захоронение,20.0
1072,Саратовская область,хранение,46.0
1131,Санкт-Петербург,хранение,2.0
1133,Самарская область,захоронение,33.0
1135,Самарская область,хранение,57.0
1223,Рязанская область,хранение,13.0
1224,Рязанская область,захоронение,27.0
1263,Ростовская область,захоронение,30.0
1264,Ростовская область,хранение,15.0
1308,Республика Хакасия,хранение,24.0
1311,Республика Хакасия,захоронение,18.0
1347,Республика Хакасия,захоранение,1.0
1351,Республика Удмуртия,хранение,9.0
1352,Республика Удмуртия,захоронение,9.0
1369,Республика Тыва,хранение,5.0
1370,Республика Тыва,захоронение,5.0
1379,Республика Татарстан,захоронение,48.0
1380,Республика Татарстан,хранение,20.0
1447,Республика Северная Осетия-Алания,захоронение,1.0
1448,Республика Северная Осетия-Алания,хранение,1.0
1449,Республика Саха (Якутия),захоронение,231.0
1459,Республика Саха (Якутия),хранение,87.0
1475,Республика Саха (Якутия),захоронениеотходов,3.0
1770,Республика Мордовия,захоронение,9.0
1775,Республика Мордовия,хранение,1.0
1780,Республика Марий Эл,захоронение,18.0
1796,Республика Марий Эл,хранение,1.0
1799,Республика Крым,захоронение,4.0
1801,Республика Крым,хранение,6.0
1809,Республика Коми,хранение,69.0
1810,Республика Коми,хранениезахоронение,2.0
1811,Республика Коми,захоронение,40.0
1920,Республика Карелия,хранение,27.0
1921,Республика Карелия,захоронение,31.0
1979,Республика Калмыкия,захоронение,1.0
1980,Республика Ингушетия,захоронение,1.0
1981,Республика Дагестан,захоронение,1.0
1982,"Республика 
Дагестан",хранение,2.0
1984,"Республика 
Дагестан",захоронение,1.0
1985,Республика Бурятия,захоронение,22.0
